keyword,category,similarity_score
energy economics,Economics,0.8696662
solar thermal energy,Physics,0.7572823
nutritional science,Agricultural science,0.84947526
space missions,Earth science,0.80099773
enzyme kinetics,Systems engineering,0.7329478
photochemistry,Chemistry,0.76938784
chemical physics,Physics,0.9071941
logical positivism,Mathematics and Logic,0.76506436
cladistics,Data science,0.70566237
feedback inhibition,Biology,0.79457134
population ecology,Anthropology,0.7070757
population genetics,Systems science,0.77855545
medical anthropology,Anthropology,0.9206871
community ecology,Sociology,0.68676996
comparative anatomy,Anthropology,0.8158836
process control,Systems engineering,0.81778455
fossil record,Pharmacy,0.7715056
computational neuroscience,Biology,0.8357581
condensed matter physics,Physics,0.8637644
3d bioprinting,Systems engineering,0.65135205
crop science,Agricultural science,0.9249062
quantum teleportation,Physics,0.6812302
radiation protection,Physics,0.7816691
natural capital,Economics,0.83467925
radiochemistry,Chemistry,0.757764
grant writing,Finance,0.71189004
habitable zone,Pharmacy,0.7424534
asteroid mining,Data engineering,0.7722335
reproductive biology,Biology,0.79501176
history of science,Political science,0.76532435
human factors engineering,Systems engineering,0.84167296
biocomputing,Biology,0.6749003
sequence alignment,Statistics,0.6081165
bioplastics,Biology,0.75719017
paleomagnetism,Biology,0.6881645
solid state physics,Physics,0.86244905
labonachip,Physics,0.7733915
stellarators,Physics,0.8096076
chemical biology,Biology,0.8778101
length contraction,Accounting,0.75959384
structural biology,Biology,0.8899195
population dynamics,Biology,0.7848337
communication satellites,Astronomy,0.7979816
synaptic plasticity,Biology,0.7746717
compression algorithms,Data engineering,0.77728593
computational chemistry,Chemistry,0.86704046
fractal geometry,Data science,0.7905835
functional foods,Systems engineering,0.661929
proteostasis,Biology,0.8216272
functional mri,Physics,0.7130724
quantum biology,Biology,0.85187185
quantum sensors,Physics,0.75847507
geomagnetism,Physics,0.7666807
glaciology,Earth science,0.73785275
neural engineering,Systems engineering,0.84630144
grand unified theory,Physics,0.77053374
decision science,Political science,0.7937419
neuroimaging,Finance,0.84737813
grovers algorithm,Mathematics and Logic,0.7141901
wildlife management,Agricultural science,0.7728299
atomic physics,Physics,0.91212
behavioral genetics,Psychology,0.7273928
drug delivery systems,Systems engineering,0.7341849
bibliometrics,Pedagogy,0.7794342
science education,Economics,0.84379685
hydraulic fracturing,Systems engineering,0.77209044
ecological economics,Economics,0.8068425
ice cores,Earth science,0.6872309
optical computing,Physics,0.8099516
paleoclimatology,Earth science,0.7314626
integer programming,Systems engineering,0.7859943
energy policy,Economics,0.7863466
energy security,Finance,0.8254001
peace studies,Political science,0.8175045
kin selection,Biology,0.726422
space colonization,Accounting,0.7670581
space law,Political science,0.80024123
philosophy of mind,Sociology,0.7438265
physical anthropology,Anthropology,0.89204013
population biology,Biology,0.82361436
swarm intelligence,Systems engineering,0.7290958
complex systems,Systems science,0.88769746
computational physics,Physics,0.8169657
methane hydrates,Data science,0.6786889
copenhagen interpretation,Finance,0.76844627
quantum electrodynamics,Physics,0.8071093
genomic medicine,Medicine,0.8442179
quantum key distribution,Physics,0.718347
quantum supremacy,Physics,0.6825555
nanobiotechnology,Anthropology,0.77620786
cultural evolution,Anthropology,0.7604729
data compression,Data engineering,0.84893745
animal behavior,Psychology,0.7338524
network theory,Systems science,0.75535566
vibration analysis,Systems engineering,0.7819463
neuropharmacology,Anthropology,0.76704043
reliability engineering,Systems engineering,0.9360534
nonlinear dynamics,Systems engineering,0.83508193
astrometry,Astronomy,0.77278167
astronautics,Earth science,0.7078798
dna computing,Biology,0.8190789
rocket propulsion,Physics,0.77237207
dna damage,Biology,0.7011142
safety protocols,Statistics,0.7893873
scientometrics,Earth science,0.7240094
bioelectronics,Systems engineering,0.811059
ecosystem ecology,Systems science,0.78479767
ecotoxicology,Earth science,0.7962494
orbital mechanics,Physics,0.7946661
sociobiology,Biology,0.87018645
interstellar travel,Physics,0.58020306
cancer biology,Biology,0.79041064
environmental microbiology,Earth science,0.7476983
phase transitions,Physics,0.7184012
learning analytics,Data science,0.76560926
chemical safety,Chemistry,0.80326
chronobiology,Anthropology,0.7433646
evolutionary algorithms,Systems engineering,0.80078554
piping systems,Systems engineering,0.8273046
loop quantum gravity,Physics,0.76521885
exobiology,Biology,0.8000189
climate adaptation,Earth science,0.77844316
planetary science,Earth science,0.9189294
structural geology,Earth science,0.7847774
cognitive computing,Systems science,0.8268782
mass transfer,Systems engineering,0.75339216
swarm robotics,Systems engineering,0.82247424
propulsion systems,Systems engineering,0.78195745
microbial ecology,Biology,0.7249763
quantum algorithms,Physics,0.8276895
quantum hall effect,Physics,0.74333596
quantum optics,Physics,0.8558818
radiation physics,Physics,0.82556427
geospatial analysis,Data engineering,0.83073217
radio astronomy,Astronomy,0.7919382
urban ecology,Anthropology,0.79739094
artificial organs,Biology,0.70100987
hazard analysis,Statistics,0.77181077
atmospheric science,Earth science,0.89663136
rna world hypothesis,Biology,0.81739336
observational astronomy,Astronomy,0.90090084
scientific literacy,Finance,0.84713084
sleep science,Data science,0.8045344
evodevo,Biology,0.7657386
ensemble methods,Systems engineering,0.79848695
selforganization,Biology,0.80385816
landscape ecology,Systems science,0.7916799
photonic crystals,Physics,0.7648252
manyworlds interpretation,Physics,0.7964258
marine conservation,Anthropology,0.7904767
mars exploration,Physics,0.76746583
collective intelligence,Data science,0.7853102
fisheries science,Agricultural science,0.8837452
fluidization,Accounting,0.7841103
medical genetics,Medicine,0.8401029
synthetic chemistry,Chemistry,0.8897521
computational complexity,Finance,0.7736639
computational modeling,Systems engineering,0.8467629
computational social science,Systems science,0.90411216
protein engineering,Data engineering,0.790645
topological insulators,Physics,0.75100064
quantum annealing,Physics,0.8256113
neuroeconomics,Political science,0.79724073
astrochemistry,Earth science,0.822573
dietary guidelines,Medicine,0.7027192
reservoir engineering,Systems engineering,0.8940712
numerical weather prediction,Earth science,0.78186905
behavioral ecology,Psychology,0.7224031
earth observation,Earth science,0.8822087
hydrogen economy,Biology,0.8247729
scientific misconduct,Political science,0.5889022
scientific publishing,Political science,0.6514347
biodegradation,Systems engineering,0.7331562
sedimentology,Finance,0.7833077
paleobiology,Anthropology,0.78536105
biophotonics,Systems engineering,0.7512512
enhanced oil recovery,Systems engineering,0.73552144
peer review process,Pedagogy,0.6925462
selfassembly,Biology,0.74048114
phase equilibria,Physics,0.78798145
chemical synthesis,Chemistry,0.8543681
statistical physics,Physics,0.8846195
lipidomics,Systems engineering,0.777665
lyapunov exponents,Biology,0.76026493
polymer science,Systems science,0.82665706
supramolecular chemistry,Chemistry,0.7308557
combinatorial chemistry,Chemistry,0.85199755
process safety,Finance,0.8119553
process simulation,Systems engineering,0.8155459
fracture mechanics,Systems engineering,0.7650541
theoretical chemistry,Chemistry,0.88584054
thermal analysis,Systems engineering,0.76109344
microlensing,Biology,0.7824191
galaxy formation,Astronomy,0.71312875
public health policy,Political science,0.7513881
minimally invasive surgery,Systems science,0.69693726
quantum information,Physics,0.80390745
network science,Data science,0.8819719
neuroprosthetics,Pharmacy,0.74719775
astrodynamics,Physics,0.85893553
risk communication,Systems engineering,0.81639826
high energy physics,Physics,0.73895586
earth system science,Earth science,0.9431326
paleoecology,Anthropology,0.7745253
environmental dna,Physics,0.77845603
petroleum geology,Earth science,0.82397205
stable isotopes,Physics,0.75987464
cheminformatics,Data science,0.8140492
comparative psychology,Psychology,0.85128355
metabolic engineering,Data engineering,0.7678205
public engagement,Political science,0.7477577
transportation science,Systems science,0.8941606
geochronology,Earth science,0.8184735
vaccination programs,Pharmacy,0.7513801
artificial life,Systems science,0.7755478
research funding,Statistics,0.5057017
satellite technology,Systems engineering,0.8182266
science journalism,Political science,0.87400794
econophysics,Economics,0.8322705
interdisciplinary research,Systems science,0.81164604
metalloproteins,Biology,0.77485275
celestial mechanics,Mathematics and Logic,0.7278907
chemical evolution,Biology,0.8246175
ethics in science,Political science,0.81641716
physical oceanography,Earth science,0.8410535
evolutionary computation,Systems engineering,0.8065789
plasma physics,Physics,0.8966522
fingerprint analysis,Accounting,0.76469886
colloid chemistry,Chemistry,0.8337251
complexity science,Systems science,0.8842937
thermoelectric materials,Physics,0.7211447
molecular evolution,Biology,0.76235276
nanofabrication,Systems engineering,0.7220601
dairy science,Agricultural science,0.88512325
data fabrication,Statistics,0.77375925
vaccine development,Biology,0.78253263
vaccinology,Biology,0.84814334
neuroinformatics,Systems engineering,0.79671776
open access publishing,Data science,0.49581358
ore deposits,Finance,0.72772026
internet governance,Finance,0.7897098
solar physics,Physics,0.8926773
percolation theory,Physics,0.86876154
lunar exploration,Physics,0.76983607
connectomics,Biology,0.782588
conservation ecology,Anthropology,0.76244086
convergence science,Data science,0.8770026
crop monitoring,Accounting,0.77833843
radiobiology,Physics,0.8382871
neuroethics,Anthropology,0.79622746
water resources engineering,Earth science,0.82299924
renewable energy integration,Systems engineering,0.78034604
diabetes research,Agricultural science,0.619321
astrogeology,Earth science,0.77258444
ecophysiology,Biology,0.80287397
sediment transport,Earth science,0.76888645
ecosystem management,Earth science,0.7786846
biological oceanography,Earth science,0.81779444
biomedical imaging,Finance,0.76800525
pandemic preparedness,Accounting,0.74591327
space habitats,Biology,0.7745282
phylogeography,Anthropology,0.73793185
flight mechanics,Systems engineering,0.7741666
public understanding of science,Political science,0.815156
geoarchaeology,Anthropology,0.77416635
glycomics,Data engineering,0.79688764
reactor design,Systems engineering,0.7517633
archaeometry,Anthropology,0.8743852
artificial consciousness,Biology,0.7754295
science diplomacy,Astronomy,0.7402508
science policy,Political science,0.88242316
biomechatronics,Systems engineering,0.7485218
signal filtering,Systems engineering,0.7572921
highperformance computing,Systems engineering,0.7984215
stability analysis,Systems engineering,0.7495861
planetary atmospheres,Earth science,0.8175211
marine chemistry,Chemistry,0.81825024
cloud physics,Physics,0.85724676
surface science,Data science,0.83444804
freshwater biology,Biology,0.82882106
restoration ecology,Anthropology,0.7814382
helioseismology,Anthropology,0.7598968
diversity in science,Political science,0.79887515
isotope analysis,Accounting,0.77105546
exposure assessment,Systems engineering,0.70526505
neuromorphic engineering,Systems engineering,0.850941
planetary geology,Earth science,0.85072815
galactic astronomy,Astronomy,0.8430847
developmental genetics,Biology,0.8244161
interstellar medium,Physics,0.6403469
pattern formation,Biology,0.7766421
citizen engagement,Accounting,0.7833422
colloid science,Physics,0.8163342
consciousness studies,Systems engineering,0.7626466
mineral identification,Accounting,0.7828078
geomicrobiology,Earth science,0.8079902
analog signal processing,Systems engineering,0.7363381
data falsification,Finance,0.6731837
obesity research,Anthropology,0.68282056
snow science,Earth science,0.89658177
highthroughput screening,Data engineering,0.6798655
xray astronomy,Physics,0.7691546
epidemic modeling,Systems engineering,0.80521226
physical biology,Physics,0.8904642
citation analysis,Accounting,0.7809295
evolutionary developmental biology,Biology,0.8665825
critical phenomena,Physics,0.8587042
tumor biology,Biology,0.7677169
dream research,Physics,0.7646278
infrared astronomy,Astronomy,0.8436967
astrostatistics,Physics,0.80784553
prebiotic chemistry,Biology,0.8091301
gravitational wave astronomy,Physics,0.81319547
geochemistry,Earth science,0.8017436
tumor suppressors,Biology,0.75192463
reproducibility,Finance,0.8010891
bacteriology,Anthropology,0.8149023
isotope geochemistry,Earth science,0.77005404
asteroid deflection,Physics,0.7120563
neutrino astronomy,Physics,0.8690989
space medicine,Medicine,0.82697856
sociophysics,Physics,0.8530897
aerosol science,Earth science,0.878426
astroinformatics,Data science,0.813825
augmented cognition,Systems science,0.82672554
observational cosmology,Physics,0.82834494
bells theorem,Mathematics and Logic,0.745135
science advocacy,Political science,0.86071914
computeraided design,Systems engineering,0.79875195
exoplanet detection,Accounting,0.6823133
ultraviolet astronomy,Physics,0.8558992
separation processes,Systems engineering,0.75666124
enzymology,Biology,0.84572375
cognitive robotics,Systems science,0.83298814
fluid dynamics,Systems engineering,0.81790125
braincomputer interface,Systems engineering,0.7921536
planetary probes,Physics,0.82983345
bernoullis principle,Physics,0.7540608
ice core analysis,Data engineering,0.7262715
bioinformatics algorithms,Physics,0.77837443
exogeology,Anthropology,0.7969569
solar photovoltaics,Systems engineering,0.8005196
lunar science,Earth science,0.8136916
climate models,Earth science,0.8440795
mathematical modeling,Systems engineering,0.857331
conservation genetics,Anthropology,0.75623953
molecular computing,Physics,0.8156164
volcanology,Earth science,0.8345591
mass extinctions,Earth science,0.69744265
surface chemistry,Chemistry,0.8328753
atmospheric chemistry,Earth science,0.8295485
rna transcription,Biology,0.7133498
seafloor spreading,Earth science,0.6882415
quantum tunneling,Physics,0.8091989
industrialorganizational psychology,Psychology,0.7972323
patient confidentiality,Statistics,0.72494113
chemical thermodynamics,Physics,0.86439383
